brand,model,year,color,km,cc,transmission,city,price
Mercedes,C180,2015,Blue,107000,1600,Automatic,Maadi,1645000
Citroen,C3 Aircross,2020,Orange,128200,1200,Automatic,Maadi,795000
BMW,520i,2019,Black,125100,2000,Automatic,Maadi,2030000
Jeep,Cherokee,2010,Gray,291870,3700,Automatic,Maadi,780000
Fiat,Punto,2017,Dark Blue,142760,1400,Automatic,Maadi,557140
Opel,Mokka,2024,White,9050,1200,Automatic,Maadi,1225000
Nissan,Juke,2021,Black,56100,1000,Automatic,Maadi,880000
Volkswagen,Tiguan,2025,Black,7450,1400,Automatic,Maadi,2200000
Renault,Sandero Stepway,2018,Black,158750,1600,Automatic,Maadi,585000
Renault,Duster,2020,copper,138686,1600,Automatic,Maadi,695000
Peugeot,2008,2020,Dark Grey,98250,1600,Automatic,Maadi,780000
Renault,Kadjar,2019,Gray,128150,1200,Automatic,Maadi,865000
Renault,Megane,2023,Silver,78700,1300,Automatic,Maadi,930000
Renault,Sandero Stepway,2021,Mocha,112250,1600,Automatic,Maadi,630000
Peugeot,508,2021,Dark blue,108250,1600,Automatic,Maadi,1075000
Mazda,3,2015,Silver,154600,1600,Automatic,Maadi,650000
Renault,Kadjar,2021,Blue,117450,1200,Automatic,Maadi,985000
Skoda,Superb,2022,Petroleum,122550,1400,Automatic,Maadi,1540000
MG,5,2022,Black,75150,1500,Automatic,Maadi,735000
Hyundai,Creta,2022,White,55310,1500,Automatic,Maadi,965000
Audi,A3,2016,Blue,150160,1400,Automatic,Maadi,1120000
Toyota,Corolla,2016,Gray,84650,1600,Automatic,Maadi,870000
Hyundai,Elantra AD,2020,Black,154800,1600,Automatic,Maadi,815000
Suzuki,Alto,2019,Silver,50300,800,Manual,Maadi,385000
Subaru,XV,2020,White,116350,1600,Automatic,Maadi,1100000
BMW,X1,2019,Gray,134500,2000,Automatic,Maadi,1520000
Jeep,Renegade,2019,Red,105500,1400,Automatic,Maadi,950000
Citroen,C3 Aircross,2021,Orange,80850,1200,Automatic,Maadi,785000
Mercedes,CLA 180,2020,Red,93355,1300,Automatic,Maadi,1740000
MG,HS,2021,Black,71600,1500,Automatic,Maadi,985000
Mini,Cooper,2019,Dark blue,142050,1500,Automatic,Maadi,1160000
Kia,Sportage,2017,Gold,128850,1600,Automatic,Maadi,1180000
Hyundai,Creta,2023,White,25200,1600,Automatic,Maadi,1240000
Suzuki,Ciaz,2022,Silver,60350,1500,Automatic,Maadi,705000
Suzuki,Ciaz,2022,Silver,45100,1500,Automatic,Maadi,730000
Renault,Kadjar,2020,Dark Gray,48950,1200,Automatic,Maadi,1070000
Kia,Sportage,2017,Mocha,180400,1600,Automatic,Maadi,1130000
Skoda,KAMIQ,2022,Red,69600,1600,Automatic,Maadi,1225000
BMW,118,2020,Dark Grey,88200,1500,Automatic,Maadi,1395000
Subaru,XV,2021,Dark Grey,157600,1600,Automatic,Maadi,1025000
Kia,Cerato,2022,White,68650,1600,Automatic,Maadi,1090000
Renault,Megane,2022,Dark Blue,42600,1300,Automatic,Maadi,960000
Toyota,Rush,2021,Bronze,92950,1500,Automatic,Maadi,1120000
Hyundai,IX 35,2015,Dark Grey,131400,1600,Automatic,Maadi,915000
MG,ZS,2022,White,62300,1500,Automatic,Maadi,840000
Mini,Countryman,2019,Blue,82550,1500,Automatic,Maadi,1190000
Hyundai,Elantra CN7,2021,Gray,56150,1600,Automatic,Maadi,970000
Mitsubishi,Eclipse,2018,Black,114800,1500,Automatic,Maadi,905000
Hyundai,Tucson,2017,Dark Grey,104750,1600,Automatic,Maadi,1115000
BMW,X1,2017,Dark Grey,131750,1500,Automatic,Maadi,1155000
Fiat,Tipo,2021,Dark Grey,69900,1600,Automatic,Maadi,805000
Audi,A4,2019,Silver,81750,1400,Automatic,Maadi,1580000
MG,RX5,2021,Black,87800,1500,Automatic,Maadi,1010000
Peugeot,301,2020,Blue,114850,1600,Automatic,Maadi,635000
Citroen,C4,2022,Copper,35200,1200,Automatic,Maadi,1180000
Audi,A3,2018,Dark blue,108000,1000,Automatic,Maadi,1155000
Citroen,C3 Aircross,2020,Gray,103400,1200,Automatic,Maadi,780000
BMW,X1,2019,Black,99850,2000,Automatic,Maadi,1575000
Subaru,Impreza,2019,Blue,166050,1600,Automatic,Maadi,810000
Jeep,Renegade,2020,Silver,153800,1400,Automatic,Maadi,935000
Jeep,Renegade,2021,Gray,94700,1400,Automatic,Maadi,1060000
Renault,Logan,2020,Silver,66200,1600,Automatic,Maadi,610000
MG,HS,2021,Blue,113050,1500,Automatic,Maadi,970000
Toyota,Corolla,2019,Silver,62400,1600,Automatic,Maadi,1015000
MG,HS,2021,Red,87600,1500,Automatic,Maadi,1065000
Kia,Soul,2016,Red,37500,1600,Automatic,Maadi,855000
MG,6,2021,White,57000,1500,Automatic,Maadi,905000
Kia,Sportage,2017,Dark Grey,123350,1600,Automatic,Maadi,1040000
Audi,A3,2020,Red,95950,1000,Automatic,Maadi,1315000
Peugeot,301,2021,Blue,73650,1600,Automatic,Maadi,640000
Subaru,XV,2021,Red,46200,1600,Automatic,Maadi,1240000
Peugeot,5008,2019,White,121050,1600,Automatic,Maadi,1080000
Fiat,Tipo,2020,Dark blue,124200,1600,Automatic,Maadi,695000
Fiat,Tipo,2019,Dark Grey,73250,1600,Automatic,Maadi,740000
